Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
267,267,0,0011eafc1c6e,0fd9,0,14e
268,268,0,0011eafc2858,e554,0,14f
269,269,0,0011eafc3831,e5eb,0,150
270,270,0,0011eafc1d85,03ef,0,151
271,271,0,0011eafc0370,2853,0,152
272,272,0,0011eafc075f,736f,0,153
273,273,0,0011eafc2fb2,38eb,0,154
274,274,0,0011eafca321,e66b,0,155
275,275,0,0011eafcdc0c,54f5,0,156
276,276,0,0011eafcc277,a263,0,157
277,277,0,0011eafd176c,8f7a,0,158
278,278,0,0011eafcb9cf,9591,0,159
279,279,0,0011eafc4949,a9f5,0,15a
280,280,0,0011eafbdeda,d300,0,15b
281,281,0,0011eafb88cf,cd3d,0,15c
282,282,0,0011eafb5bcf,82fd,0,15d
283,283,0,0011eafb290c,0a37,0,15e
284,284,0,0011eafaac09,986a,0,15f
285,285,0,0011eafab640,a581,0,160
286,286,0,0011eafa4eaa,2192,0,161
287,287,0,0011eaf9f42b,5bfc,0,162
288,288,0,0011eafa15bd,7966,0,163
289,289,0,0011eafa71b9,1222,0,164
290,290,0,0011eafaeb1f,7f31,0,165
291,291,0,0011eafafd41,0db4,0,166
292,292,0,0011eafb7c72,03f5,0,167
293,293,0,0011eafb8a26,d4a7,0,168
294,294,0,0011eafb8e1b,ee14,0,169
295,295,0,0011eafb62c2,fde7,0,16a
296,296,0,0011eafb50d6,922f,0,16b
297,297,0,0011eafb4ebd,6342,0,16c
298,298,0,0011eafae0ec,908b,0,16d
299,299,0,0011eafb442e,efa9,0,16e
300,300,0,0011eafad4b9,539d,0,16f
301,301,0,0011eafac462,e500,0,170
302,302,0,0011eafb17ff,1d0c,0,171
303,303,0,0011eafafcff,5192,0,172
304,304,0,0011eafb1a0b,62e0,0,173
305,305,0,0011eafb6b9d,6e5d,0,174
306,306,0,0011eafbce7d,b0d7,0,175
307,307,0,0011eafc3cda,c232,0,176
308,308,0,0011eafbedb1,65da,0,177
309,309,0,0011eafbafe3,17e6,0,178
310,310,0,0011eafc15bd,00fb,0,179
311,311,0,0011eafc2da3,1ce1,0,17a
312,312,0,0011eafc2e9e,51c5,0,17b
313,313,0,0011eafc4b7f,0829,0,17c
314,314,0,0011eafc9d44,b3bb,0,17d
315,315,0,0011eafca56d,f432,0,17e
316,316,0,0011eafc5928,ed8b,0,17f
317,317,0,0011eafc4d5a,774f,0,180
318,318,0,0011eafc3ae5,1ebb,0,181
319,319,0,0011eafcb234,3205,0,182
320,320,0,0011eafcd0ef,385c,0,183
321,321,0,0011eafd02f4,d8ce,0,184
322,322,0,0011eafd3b50,0459,0,185
323,323,0,0011eafd141e,0e83,0,186
324,324,0,0011eafd1877,a810,0,187
325,325,0,0011eafd26fa,0fe2,0,188
326,326,0,0011eafccf0a,31de,0,189
327,327,0,0011eafcdeec,ed2c,0,18a
328,328,0,0011eafd10ca,5615,0,18b
329,329,0,0011eafcfdf6,3b3c,0,18c
330,330,0,0011eafd540b,dc2a,0,18d
331,331,0,0011eafd8f47,f447,0,18e
332,332,0,0011eafd6b71,e2ea,0,18f
333,333,0,0011eafd5fb8,468a,0,190
